University,75earn,Ownership,Control
Capitol College,84100,2,Private Non Profit
Molloy College,84100,2,Private Non Profit
Pace University-New York,84000,2,Private Non Profit
Drexel University,84000,2,Private Non Profit
Tulane University of Louisiana,83300,2,Private Non Profit
Trinity College,82900,2,Private Non Profit
Brandeis University,82700,2,Private Non Profit
Barnard College,82000,2,Private Non Profit
Bryant University,81900,2,Private Non Profit
Xavier University of Louisiana,81700,2,Private Non Profit
Loyola Marymount University,81600,2,Private Non Profit
University of San Diego,81600,2,Private Non Profit
Providence College,81400,2,Private Non Profit
Milwaukee School of Engineering,81200,2,Private Non Profit
American University,81100,2,Private Non Profit
Duquesne University,81000,2,Private Non Profit
Wellesley College,80500,2,Private Non Profit
Bowdoin College,80300,2,Private Non Profit
Stonehill College,80100,2,Private Non Profit
Fordham University,80100,2,Private Non Profit
Southern Methodist University,80100,2,Private Non Profit
Rochester Institute of Technology,80000,2,Private Non Profit
Yeshiva University,80000,2,Private Non Profit
Saint Joseph's University,79800,2,Private Non Profit
Alliant International University,79600,2,Private Non Profit
St John's University-New York,79600,2,Private Non Profit
Syracuse University,79500,2,Private Non Profit
Muhlenberg College,79100,2,Private Non Profit
Western New England University,78800,2,Private Non Profit
Menlo College,78600,2,Private Non Profit
University of Scranton,78500,2,Private Non Profit
Seton Hall University,78400,2,Private Non Profit
Trinity University,78400,2,Private Non Profit
Marquette University,78200,2,Private Non Profit
Mount St. Mary's College,77900,2,Private Non Profit
University of Miami,77800,2,Private Non Profit
Haverford College,77800,2,Private Non Profit
Quinnipiac University,77600,2,Private Non Profit
Dominican University of California,77500,2,Private Non Profit
University of Denver,77400,2,Private Non Profit
Catholic University of America,77400,2,Private Non Profit
Wentworth Institute of Technology,77400,2,Private Non Profit
Seattle University,77400,2,Private Non Profit
Franklin and Marshall College,77300,2,Private Non Profit
Saint Johns University,77000,2,Private Non Profit
Rhodes College,77000,2,Private Non Profit
Illinois Wesleyan University,76600,2,Private Non Profit
Bates College,76500,2,Private Non Profit
LeTourneau University,76500,2,Private Non Profit
Lawrence Technological University,76200,2,Private Non Profit
Saint Louis University-Main Campus,76200,2,Private Non Profit
Regis University,76100,2,Private Non Profit
Hampden-Sydney College,76100,2,Private Non Profit
Pacific Union College,75800,2,Private Non Profit
Pomona College,75500,2,Private Non Profit
New York Institute of Technology,75500,2,Private Non Profit
Siena College,75500,2,Private Non Profit
Hofstra University,75300,2,Private Non Profit
Wagner College,75300,2,Private Non Profit
Bellevue University,75200,2,Private Non Profit
John Brown University,74800,2,Private Non Profit
University of Dayton,74800,2,Private Non Profit
Marist College,74500,2,Private Non Profit
Samford University,74400,2,Private Non Profit
Gonzaga University,74400,2,Private Non Profit
Colby College,74300,2,Private Non Profit
Saint Joseph's College-New York,74300,2,Private Non Profit
City University of Seattle,74200,2,Private Non Profit
University of St Thomas,74100,2,Private Non Profit
Swarthmore College,74100,2,Private Non Profit
Florida Institute of Technology,74000,2,Private Non Profit
Notre Dame de Namur University,73900,2,Private Non Profit
Sacred Heart University,73900,2,Private Non Profit
Saint Anselm College,73900,2,Private Non Profit
Bradley University,73800,2,Private Non Profit
DePaul University,73600,2,Private Non Profit
Cleary University,73600,2,Private Non Profit
Mercer University,73500,2,Private Non Profit
Albertus Magnus College,73400,2,Private Non Profit
Linfield College-McMinnville Campus,73400,2,Private Non Profit
Linfield College-Nursing & Health Sciences,73400,2,Private Non Profit
Linfield College-Adult Degree Program,73400,2,Private Non Profit
La Salle University,73300,2,Private Non Profit
College of Mount Saint Vincent,73200,2,Private Non Profit
Wilkes University,73100,2,Private Non Profit
University of Redlands,72800,2,Private Non Profit
Bryn Mawr College,72800,2,Private Non Profit
Dickinson College,72800,2,Private Non Profit
Gettysburg College,72600,2,Private Non Profit
California Lutheran University,72500,2,Private Non Profit
Adelphi University,72400,2,Private Non Profit
University of Portland,72300,2,Private Non Profit
National University,72200,2,Private Non Profit
Merrimack College,72000,2,Private Non Profit
Wesleyan University,71900,2,Private Non Profit
Mount St Mary's University,71900,2,Private Non Profit
D'Youville College,71800,2,Private Non Profit
University of La Verne,71700,2,Private Non Profit
Texas Christian University,71600,2,Private Non Profit
Drew University,71500,2,Private Non Profit
Iona College,71500,2,Private Non Profit
Dominican College of Blauvelt,71400,2,Private Non Profit
St. Francis College,71400,2,Private Non Profit
Nova Southeastern University,71300,2,Private Non Profit
Washington Adventist University,71300,2,Private Non Profit
King's College,71300,2,Private Non Profit
Ursinus College,71300,2,Private Non Profit
Jefferson College of Health Sciences,71200,2,Private Non Profit
Washington & Jefferson College,71100,2,Private Non Profit
Barnes-Jewish College Goldfarb School of Nursing,71000,2,Private Non Profit
Wabash College,70900,2,Private Non Profit
Walsh College of Accountancy and Business Administration,70900,2,Private Non Profit
Holy Names University,70700,2,Private Non Profit
Gwynedd Mercy College,70700,2,Private Non Profit
Widener University-Main Campus,70700,2,Private Non Profit
Widener University-Delaware Campus,70700,2,Private Non Profit
Stevenson University,70600,2,Private Non Profit
John Carroll University,70600,2,Private Non Profit
University of Puget Sound,70600,2,Private Non Profit
Point Loma Nazarene University,70500,2,Private Non Profit
Suffolk University,70500,2,Private Non Profit
Long Island University-Brooklyn Campus,70500,2,Private Non Profit
Long Island University-C W Post Campus,70500,2,Private Non Profit
Long Island University-Brentwood Campus,70500,2,Private Non Profit
Marymount University,70500,2,Private Non Profit
Long Island University-Riverhead Campus,70500,2,Private Non Profit
DePauw University,70400,2,Private Non Profit
Baylor University,70400,2,Private Non Profit
Cardinal Stritch University,70300,2,Private Non Profit
Loyola University-Chicago,70100,2,Private Non Profit
College of Biblical Studies-Houston,70000,2,Private Non Profit
Otis College of Art and Design,69900,2,Private Non Profit
Allegheny College,69800,2,Private Non Profit
Baptist Memorial College of Health Sciences,69800,2,Private Non Profit
Vassar College,69700,2,Private Non Profit
Assumption College,69600,2,Private Non Profit
Azusa Pacific University,69500,2,Private Non Profit
Denison University,69500,2,Private Non Profit
Ithaca College,69400,2,Private Non Profit
Howard University,69200,2,Private Non Profit
Franklin University,69200,2,Private Non Profit
Gannon University,69200,2,Private Non Profit
Occidental College,69100,2,Private Non Profit
Jacksonville University,69100,2,Private Non Profit
Connecticut College,69000,2,Private Non Profit
Trinity Washington University,69000,2,Private Non Profit
Southern Nazarene University,69000,2,Private Non Profit
Simmons College,68900,2,Private Non Profit
Chapman University,68800,2,Private Non Profit
University of St Thomas,68500,2,Private Non Profit
Baker University,68400,2,Private Non Profit
The College of Saint Scholastica,68400,2,Private Non Profit
Hobart William Smith Colleges,68400,2,Private Non Profit
Immaculata University,68400,2,Private Non Profit
Lewis University,68300,2,Private Non Profit
Indiana Wesleyan University,68300,2,Private Non Profit
Kalamazoo College,68300,2,Private Non Profit
Mount Carmel College of Nursing,68300,2,Private Non Profit
Furman University,68300,2,Private Non Profit
Benedictine University,68200,2,Private Non Profit
Gustavus Adolphus College,68200,2,Private Non Profit
Rockhurst University,68200,2,Private Non Profit
Westmont College,68000,2,Private Non Profit
Hawaii Pacific University,68000,2,Private Non Profit
Xavier University,68000,2,Private Non Profit
Willamette University,68000,2,Private Non Profit
Southwestern University,68000,2,Private Non Profit
Westminster College,68000,2,Private Non Profit
Washington College,67900,2,Private Non Profit
Concordia University-Saint Paul,67900,2,Private Non Profit
Campbell University,67900,2,Private Non Profit
University of New Haven,67800,2,Private Non Profit
Mount Saint Mary College,67800,2,Private Non Profit
Walla Walla University,67800,2,Private Non Profit
Valparaiso University,67700,2,Private Non Profit
Augustana College,67600,2,Private Non Profit
DeSales University,67600,2,Private Non Profit
Albright College,67400,2,Private Non Profit
Grinnell College,67300,2,Private Non Profit
Curry College,67200,2,Private Non Profit
Saint Thomas Aquinas College,67200,2,Private Non Profit
Susquehanna University,67200,2,Private Non Profit
National Louis University,67100,2,Private Non Profit
Dowling College,67100,2,Private Non Profit
Rhode Island School of Design,67100,2,Private Non Profit
Florida Hospital College of Health Sciences,67000,2,Private Non Profit
University of Tulsa,67000,2,Private Non Profit
Woodbury University,66900,2,Private Non Profit
Allen College,66900,2,Private Non Profit
Saint Francis University,66900,2,Private Non Profit
Oklahoma Wesleyan University,66800,2,Private Non Profit
Wofford College,66800,2,Private Non Profit
Austin College,66800,2,Private Non Profit
Lake Forest College,66700,2,Private Non Profit
Fairleigh Dickinson University-Metropolitan Campus,66700,2,Private Non Profit
Fairleigh Dickinson University-College at Florham,66700,2,Private Non Profit
Scripps College,66600,2,Private Non Profit
Carleton College,66600,2,Private Non Profit
Monmouth University,66500,2,Private Non Profit
Union Institute & University,66500,2,Private Non Profit
St Catherine University,66300,2,Private Non Profit
Holy Family University,66100,2,Private Non Profit
Manhattanville College,66000,2,Private Non Profit
Marietta College,65900,2,Private Non Profit
Thomas More College,65800,2,Private Non Profit
Norwich University,65700,2,Private Non Profit
Barry University,65600,2,Private Non Profit
St Lawrence University,65600,2,Private Non Profit
Moravian College and Moravian Theological Seminary,65600,2,Private Non Profit
Philadelphia University,65600,2,Private Non Profit
Seattle Pacific University,65600,2,Private Non Profit
Eastern University,65500,2,Private Non Profit
University of Hartford,65400,2,Private Non Profit
Centre College,65200,2,Private Non Profit
Ursuline College,65200,2,Private Non Profit
Christian Brothers University,65200,2,Private Non Profit
National University of Health Sciences,65100,2,Private Non Profit
Notre Dame of Maryland University,65100,2,Private Non Profit
College of Saint Benedict,65100,2,Private Non Profit
Emerson College,64800,2,Private Non Profit
Waynesburg University,64800,2,Private Non Profit
Saint Edward's University,64800,2,Private Non Profit
Wheaton College,64700,2,Private Non Profit
Roger Williams University,64700,2,Private Non Profit
Elmhurst College,64500,2,Private Non Profit
Saint Xavier University,64400,2,Private Non Profit
Smith College,64400,2,Private Non Profit
Misericordia University,64400,2,Private Non Profit
Salve Regina University,64400,2,Private Non Profit
La Sierra University,64300,2,Private Non Profit
Morehouse College,64200,2,Private Non Profit
Spelman College,64200,2,Private Non Profit
Bethel University,64200,2,Private Non Profit
Rosemont College,64200,2,Private Non Profit
Northwood University-Florida,64100,2,Private Non Profit
Northwood University-Michigan,64100,2,Private Non Profit
York College Pennsylvania,64100,2,Private Non Profit
Northwood University-Texas,64100,2,Private Non Profit
Saint Michael's College,64100,2,Private Non Profit
Whittier College,64000,2,Private Non Profit
Macalester College,64000,2,Private Non Profit
Park University,64000,2,Private Non Profit
Saint Joseph College,63900,2,Private Non Profit
Saint Thomas University,63900,2,Private Non Profit
Saint Ambrose University,63900,2,Private Non Profit
The University of Tampa,63800,2,Private Non Profit
University of St Francis,63800,2,Private Non Profit
Elon University,63800,2,Private Non Profit
Whitman College,63800,2,Private Non Profit
The New School,63700,2,Private Non Profit
Skidmore College,63700,2,Private Non Profit
Everglades University,63700,2,Private Non Profit
Saint Leo University,63600,2,Private Non Profit
Palmer College of Chiropractic-Davenport,63600,2,Private Non Profit
Caldwell College,63600,2,Private Non Profit
Rider University,63500,2,Private Non Profit
Hartwick College,63500,2,Private Non Profit
Pacific Lutheran University,63500,2,Private Non Profit
Eastern Nazarene College,63400,2,Private Non Profit
Hamline University,63400,2,Private Non Profit
St Olaf College,63400,2,Private Non Profit
Elizabethtown College,63400,2,Private Non Profit
Saint Martin's University,63400,2,Private Non Profit
Concordia University-Irvine,63300,2,Private Non Profit
Oglethorpe University,63300,2,Private Non Profit
Goucher College,63300,2,Private Non Profit
University of Mary,63300,2,Private Non Profit
McDaniel College,63200,2,Private Non Profit
Nichols College,63200,2,Private Non Profit
Northwestern Health Sciences University,63200,2,Private Non Profit
Le Moyne College,63200,2,Private Non Profit
California College of the Arts,63100,2,Private Non Profit
Indiana Institute of Technology,63100,2,Private Non Profit
Centenary College,63100,2,Private Non Profit
Alderson Broaddus College,63100,2,Private Non Profit
The Master's College and Seminary,63000,2,Private Non Profit
George Fox University,63000,2,Private Non Profit
Cedar Crest College,62900,2,Private Non Profit
Averett University,62900,2,Private Non Profit
Averett University-Non-Traditional Programs,62900,2,Private Non Profit
Shorter University,62800,2,Private Non Profit
Clark University,62800,2,Private Non Profit
Maryville University of Saint Louis,62800,2,Private Non Profit
Shorter University-College of Adult & Professional Programs,62800,2,Private Non Profit
Roosevelt University,62700,2,Private Non Profit
Saint Mary's College,62700,2,Private Non Profit
Bellarmine University,62700,2,Private Non Profit
Pitzer College,62500,2,Private Non Profit
Springfield College,62500,2,Private Non Profit
Brigham Young University-Hawaii,62500,2,Private Non Profit
Wheeling Jesuit University,62500,2,Private Non Profit
Springfield College-School of Human Services,62500,2,Private Non Profit
Biola University,62400,2,Private Non Profit
Saint Peter's College,62400,2,Private Non Profit
Alfred University,62400,2,Private Non Profit
Spring Hill College,62300,2,Private Non Profit
Southern Wesleyan University,62300,2,Private Non Profit
University of New England,62100,2,Private Non Profit
American International College,62100,2,Private Non Profit
The College of Wooster,62100,2,Private Non Profit
Brigham Young University-Idaho,62000,2,Private Non Profit
Millsaps College,62000,2,Private Non Profit
Albion College,61900,2,Private Non Profit
Arcadia University,61900,2,Private Non Profit
Cabrini College,61900,2,Private Non Profit
Randolph-Macon College,61900,2,Private Non Profit
Concordia College-New York,61800,2,Private Non Profit
Robert Morris University,61800,2,Private Non Profit
Bluefield College,61800,2,Private Non Profit
University of Bridgeport,61700,2,Private Non Profit
Friends University,61700,2,Private Non Profit
Kenyon College,61700,2,Private Non Profit
Sewanee-The University of the South,61700,2,Private Non Profit
Eckerd College,61600,2,Private Non Profit
Wheaton College,61600,2,Private Non Profit
The Juilliard School,61600,2,Private Non Profit
Peirce College,61600,2,Private Non Profit
St. Mary's University,61600,2,Private Non Profit
Emmanuel College,61400,2,Private Non Profit
Augsburg College,61400,2,Private Non Profit
North Central College,61300,2,Private Non Profit
Dominican University,61300,2,Private Non Profit
Nebraska Methodist College of Nursing & Allied Health,61300,2,Private Non Profit
Loyola University-New Orleans,61200,2,Private Non Profit
Nebraska Wesleyan University,61200,2,Private Non Profit
Calumet College of Saint Joseph,61100,2,Private Non Profit
Pratt Institute-Main,61000,2,Private Non Profit
Juniata College,61000,2,Private Non Profit
University of Detroit Mercy,60900,2,Private Non Profit
Hampton University,60900,2,Private Non Profit
Lewis & Clark College,60800,2,Private Non Profit
Cleveland Chiropractic College,60700,2,Private Non Profit
Utica College,60700,2,Private Non Profit
Mountain State University,60700,2,Private Non Profit
Saint Norbert College,60700,2,Private Non Profit
Simpson College,60600,2,Private Non Profit
Lebanon Valley College,60600,2,Private Non Profit
Birmingham Southern College,60500,2,Private Non Profit
Alma College,60500,2,Private Non Profit
Nyack College,60500,2,Private Non Profit
Saint Vincent College,60500,2,Private Non Profit
Alaska Pacific University,60400,2,Private Non Profit
McKendree University,60400,2,Private Non Profit
Delaware Valley College,60400,2,Private Non Profit
Northwest University,60400,2,Private Non Profit
California Institute of the Arts,60300,2,Private Non Profit
Stetson University,60300,2,Private Non Profit
Warner University,60300,2,Private Non Profit
Southern New Hampshire University,60300,2,Private Non Profit
Daemen College,60300,2,Private Non Profit
The University of Findlay,60300,2,Private Non Profit
Hood College,60200,2,Private Non Profit
Montreat College,60200,2,Private Non Profit
Baldwin-Wallace College,60200,2,Private Non Profit
Cedarville University,60200,2,Private Non Profit
Westminster College,60100,2,Private Non Profit
Carroll College,60100,2,Private Non Profit
BryanLGH College of Health Sciences,60100,2,Private Non Profit
College of Saint Elizabeth,60000,2,Private Non Profit
Tuskegee University,59900,2,Private Non Profit
Vanguard University of Southern California,59900,2,Private Non Profit
College for Creative Studies,59900,2,Private Non Profit
Saint John Fisher College,59900,2,Private Non Profit
Goldey-Beacom College,59800,2,Private Non Profit
Saint Bonaventure University,59800,2,Private Non Profit
Walsh University,59700,2,Private Non Profit
Georgetown College,59600,2,Private Non Profit
Mount Holyoke College,59600,2,Private Non Profit
Trine University,59500,2,Private Non Profit
Saint Mary's University of Minnesota,59500,2,Private Non Profit
Felician College,59500,2,Private Non Profit
Chestnut Hill College,59500,2,Private Non Profit
Trine University-Regional/Non-Traditional Campuses,59500,2,Private Non Profit
Mills College,59400,2,Private Non Profit
Knox College,59400,2,Private Non Profit
Houston Baptist University,59400,2,Private Non Profit
Rollins College,59300,2,Private Non Profit
Roanoke College,59300,2,Private Non Profit
Carthage College,59300,2,Private Non Profit
Colorado Christian University,59100,2,Private Non Profit
Millikin University,59100,2,Private Non Profit
College of Our Lady of the Elms,59000,2,Private Non Profit
Hiram College,59000,2,Private Non Profit
Concordia University-Portland,59000,2,Private Non Profit
Carroll University,59000,2,Private Non Profit
Endicott College,58900,2,Private Non Profit
Clarkson College,58900,2,Private Non Profit
King College,58900,2,Private Non Profit
University of the Incarnate Word,58900,2,Private Non Profit
Whitworth University,58900,2,Private Non Profit
Whitworth University-Adult Degree Programs,58900,2,Private Non Profit
Regis College,58800,2,Private Non Profit
Ohio Wesleyan University,58800,2,Private Non Profit
Neumann University,58800,2,Private Non Profit
Viterbo University,58800,2,Private Non Profit
Covenant College,58700,2,Private Non Profit
Spalding University,58700,2,Private Non Profit
Hope College,58700,2,Private Non Profit
Canisius College,58700,2,Private Non Profit
Mid-America Christian University,58700,2,Private Non Profit
Hanover College,58600,2,Private Non Profit
MidAmerica Nazarene University,58600,2,Private Non Profit
Calvin College,58600,2,Private Non Profit
Lipscomb University,58600,2,Private Non Profit
Lynchburg College,58600,2,Private Non Profit
California Baptist University,58400,2,Private Non Profit
Wesley College,58400,2,Private Non Profit
Loras College,58400,2,Private Non Profit
Bay Path College,58400,2,Private Non Profit
Westminster College,58400,2,Private Non Profit
University of Dallas,58400,2,Private Non Profit
Shenandoah University,58400,2,Private Non Profit
The College of Idaho,58300,2,Private Non Profit
Concordia University-Chicago,58300,2,Private Non Profit
North Park University,58300,2,Private Non Profit
University of Evansville,58300,2,Private Non Profit
Wartburg College,58300,2,Private Non Profit
Mid-Continent University,58300,2,Private Non Profit
Elmira College,58300,2,Private Non Profit
Messiah College,58300,2,Private Non Profit
Wayland Baptist University,58300,2,Private Non Profit
Marymount Manhattan College,58200,2,Private Non Profit
Oberlin College,58200,2,Private Non Profit
Marylhurst University,58100,2,Private Non Profit
Tusculum College,58100,2,Private Non Profit
Dallas Baptist University,58100,2,Private Non Profit
Centenary College of Louisiana,58000,2,Private Non Profit
Webster University,58000,2,Private Non Profit
Luther College,57900,2,Private Non Profit
Rivier College,57900,2,Private Non Profit
Pacific University,57900,2,Private Non Profit
Reed College,57900,2,Private Non Profit
Texas Lutheran University,57900,2,Private Non Profit
Concordia University-Wisconsin,57900,2,Private Non Profit
Cornell College,57600,2,Private Non Profit
Transylvania University,57600,2,Private Non Profit
Logan University,57600,2,Private Non Profit
Georgian Court University,57600,2,Private Non Profit
Otterbein University,57600,2,Private Non Profit
Presbyterian College,57500,2,Private Non Profit
Brenau University,57400,2,Private Non Profit
Bloomfield College,57400,2,Private Non Profit
University of Charleston,57400,2,Private Non Profit
Mount Vernon Nazarene University,57300,2,Private Non Profit
Augustana College,57300,2,Private Non Profit
Aurora University,57200,2,Private Non Profit
Marian University,57200,2,Private Non Profit
Hodges University,57200,2,Private Non Profit
Lynn University,57100,2,Private Non Profit
Mount Mercy University,57100,2,Private Non Profit
Concordia College at Moorhead,57100,2,Private Non Profit
Lycoming College,57100,2,Private Non Profit
Southern Adventist University,57100,2,Private Non Profit
Mercy College,57000,2,Private Non Profit
Coe College,56900,2,Private Non Profit
Spring Arbor University,56900,2,Private Non Profit
Bridgewater College,56900,2,Private Non Profit
West Virginia Wesleyan College,56900,2,Private Non Profit
Colorado College,56800,2,Private Non Profit
William Penn University,56800,2,Private Non Profit
Avila University,56800,2,Private Non Profit
Doane College-Crete,56800,2,Private Non Profit
Roberts Wesleyan College,56800,2,Private Non Profit
Oklahoma City University,56800,2,Private Non Profit
Doane College-Lincoln Grand Island and Master,56800,2,Private Non Profit
Trinity International University-Florida,56700,2,Private Non Profit
Life University,56700,2,Private Non Profit
Trinity International University-Illinois,56700,2,Private Non Profit
Concordia University-Texas,56700,2,Private Non Profit
Faulkner University,56600,2,Private Non Profit
Hendrix College,56600,2,Private Non Profit
Wilmington University,56600,2,Private Non Profit
Niagara University,56600,2,Private Non Profit
Wittenberg University,56600,2,Private Non Profit
Belmont University,56500,2,Private Non Profit
Abilene Christian University,56500,2,Private Non Profit
University of Mary Hardin-Baylor,56500,2,Private Non Profit
Lawrence University,56500,2,Private Non Profit
Rocky Mountain College,56400,2,Private Non Profit
Concordia University-Ann Arbor,56300,2,Private Non Profit
Alvernia University,56300,2,Private Non Profit
Ringling College of Art and Design,56200,2,Private Non Profit
Central College,56200,2,Private Non Profit
University of the Southwest,56200,2,Private Non Profit
Amridge University,56100,2,Private Non Profit
University of Saint Francis-Fort Wayne,56100,2,Private Non Profit
Metropolitan College of New York,56100,2,Private Non Profit
Mount Olive College,56100,2,Private Non Profit
Hilbert College,56000,2,Private Non Profit
Capital University,56000,2,Private Non Profit
Bethany College,56000,2,Private Non Profit
Fontbonne University,55900,2,Private Non Profit
University of Mount Union,55900,2,Private Non Profit
William Jewell College,55800,2,Private Non Profit
Northwest Christian University,55800,2,Private Non Profit
Dallas Christian College,55800,2,Private Non Profit
Fresno Pacific University,55700,2,Private Non Profit
Lasell College,55700,2,Private Non Profit
Lindenwood University,55700,2,Private Non Profit
Keuka College,55700,2,Private Non Profit
Notre Dame College,55700,2,Private Non Profit
Corban University,55700,2,Private Non Profit
Eastern Mennonite University,55600,2,Private Non Profit
Harding University,55500,2,Private Non Profit
Trinity Christian College,55500,2,Private Non Profit
University of Indianapolis,55500,2,Private Non Profit
Dordt College,55500,2,Private Non Profit
Clarke University,55400,2,Private Non Profit
Madonna University,55400,2,Private Non Profit
Belmont Abbey College,55400,2,Private Non Profit
Guilford College,55400,2,Private Non Profit
Union University,55400,2,Private Non Profit
Southwestern Adventist University,55400,2,Private Non Profit
Alverno College,55400,2,Private Non Profit
University of Mobile,55300,2,Private Non Profit
Ottawa University-Phoenix,55300,2,Private Non Profit
Savannah College of Art and Design,55300,2,Private Non Profit
Upper Iowa University,55300,2,Private Non Profit
Ottawa University-Ottawa,55300,2,Private Non Profit
Ottawa University-Kansas City,55300,2,Private Non Profit
Mississippi College,55300,2,Private Non Profit
Trevecca Nazarene University,55300,2,Private Non Profit
Ottawa University-Milwaukee,55300,2,Private Non Profit
Ottawa University-Jeffersonville,55300,2,Private Non Profit
Ottawa University-Online,55300,2,Private Non Profit
Judson University,55200,2,Private Non Profit
Holy Cross College,55200,2,Private Non Profit
University of Saint Mary,55200,2,Private Non Profit
Our Lady of Holy Cross College,55200,2,Private Non Profit
Midland University,55200,2,Private Non Profit
Mount Aloysius College,55200,2,Private Non Profit
Edgewood College,55200,2,Private Non Profit
Anna Maria College,55100,2,Private Non Profit
Sarah Lawrence College,55100,2,Private Non Profit
Malone University,55100,2,Private Non Profit
Ripon College,55100,2,Private Non Profit
Husson University,55000,2,Private Non Profit
Beth Medrash Govoha,55000,2,Private Non Profit
Nazareth College,55000,2,Private Non Profit
Methodist University,55000,2,Private Non Profit
Queens University of Charlotte,55000,2,Private Non Profit
Adrian College,54900,2,Private Non Profit
Medaille College,54900,2,Private Non Profit
Tiffin University,54900,2,Private Non Profit
Palm Beach Atlantic University-West Palm Beach,54800,2,Private Non Profit
Taylor University,54800,2,Private Non Profit
Geneva College,54800,2,Private Non Profit
Point Park University,54800,2,Private Non Profit
Webber International University,54700,2,Private Non Profit
Bethany College,54700,2,Private Non Profit
St. Andrews University,54700,2,Private Non Profit
Antioch University-Los Angeles,54700,2,Private Non Profit
Antioch University-Santa Barbara,54700,2,Private Non Profit
Antioch University-Seattle,54700,2,Private Non Profit
Antioch University-Midwest,54700,2,Private Non Profit
Andrews University,54600,2,Private Non Profit
Martin Luther College,54600,2,Private Non Profit
The Sage Colleges,54600,2,Private Non Profit
The College of Saint Rose,54600,2,Private Non Profit
Champlain College,54600,2,Private Non Profit
Houghton College,54500,2,Private Non Profit
High Point University,54500,2,Private Non Profit
Hardin-Simmons University,54500,2,Private Non Profit
Liberty University,54500,2,Private Non Profit
Marian University,54500,2,Private Non Profit
Western Governors University,54500,2,Private Non Profit
Quincy University,54400,2,Private Non Profit
Oklahoma Christian University,54200,2,Private Non Profit
Monmouth College,54100,2,Private Non Profit
Franklin College,54100,2,Private Non Profit
Sierra Nevada College,54100,2,Private Non Profit
Northwest Nazarene University,54000,2,Private Non Profit
Rockford College,54000,2,Private Non Profit
Benedictine College,53900,2,Private Non Profit
Jamestown College,53900,2,Private Non Profit
Mount Mary College,53900,2,Private Non Profit
Central Baptist College,53800,2,Private Non Profit
Saint Josephs College,53800,2,Private Non Profit
Briar Cliff University,53800,2,Private Non Profit
Siena Heights University,53800,2,Private Non Profit
Hastings College,53800,2,Private Non Profit
The College of New Rochelle,53800,2,Private Non Profit
Bethel University,53800,2,Private Non Profit
San Diego Christian College,53700,2,Private Non Profit
Newman University,53700,2,Private Non Profit
Randolph College,53700,2,Private Non Profit
Ouachita Baptist University,53600,2,Private Non Profit
Agnes Scott College,53600,2,Private Non Profit
Berry College,53600,2,Private Non Profit
Louisiana College,53600,2,Private Non Profit
Lakeland College,53600,2,Private Non Profit
Olivet Nazarene University,53500,2,Private Non Profit
Kentucky Wesleyan College,53500,2,Private Non Profit
Belhaven University,53500,2,Private Non Profit
Southern Virginia University,53500,2,Private Non Profit
William Jessup University,53400,2,Private Non Profit
Saint Gregorys University,53400,2,Private Non Profit
Blackburn College,53300,2,Private Non Profit
College of Mount St. Joseph,53300,2,Private Non Profit
Ohio Dominican University,53300,2,Private Non Profit
Lubbock Christian University,53300,2,Private Non Profit
Franklin Pierce University,53200,2,Private Non Profit
Carlow University,53200,2,Private Non Profit
Corcoran College of Art and Design,53100,2,Private Non Profit
Cornerstone University,53000,2,Private Non Profit
Mercyhurst College,53000,2,Private Non Profit
Emory and Henry College,53000,2,Private Non Profit
Chaminade University of Honolulu,52900,2,Private Non Profit
Southern Vermont College,52900,2,Private Non Profit
Illinois College,52800,2,Private Non Profit
Marywood University,52800,2,Private Non Profit
Rochester College,52600,2,Private Non Profit
Newbury College-Brookline,52500,2,Private Non Profit
Touro College,52500,2,Private Non Profit
Nazarene Bible College,52400,2,Private Non Profit
Bethel College-Mishawaka,52400,2,Private Non Profit
Union College,52400,2,Private Non Profit
Beloit College,52400,2,Private Non Profit
Colby-Sawyer College,52300,2,Private Non Profit
North Carolina Wesleyan College,52300,2,Private Non Profit
